business_activity_description,Cost,Vendor,Comment,2017 NAICS Title
Atcivities relatd tot obacco farming.,10521.66,FreshFields,Procured for tobacco farming operations.,Tobacco Farming
Activities related to berry (except strawberry) farming.,32032.66,BioHarvest,Procured for berry (except strawberry) farming operations.,Berry (except Strawberry) Farming
Activities related to other aquaculture.,31575.93,EcoFarms,Procured for other aquaculture operations.,Other Aquaculture
Activities related to hay farming.,29477.1,AgriCorp,Procured for hay farming operations.,Hay Farming
Activities related to corn farming.,48239.01,FreshFields,Procured for corn farming operations.,Corn Farming
Activities related to berry (except strawberry) farming.,3246.7,BioHarvest,Procured for berry (except strawberry) farming operations.,Berry (except Strawberry) Farming
Activities related to citrus (except orange) groves.,16748.63,CropGen,Procured for citrus (except orange) groves operations.,Citrus (except Orange) Groves
Activities related to hog and pig farming.,31106.15,FreshFields,Procured for hog and pig farming operations.,Hog and Pig Farming
Activities related to oilseed and grain combination farming.,17904.34,CropGen,Procured for oilseed and grain combination farming operations.,Oilseed and Grain Combination Farming
Activities related to poultry hatcheries.,36575.05,AgriCorp,Procured for poultry hatcheries operations.,Poultry Hatcheries
Activities related to other food crops grown under cover.,43176.4,CropGen,Procured for other food crops grown under cover operations.,Other Food Crops Grown Under Cover
Activities related to strawberry farming.,31076.29,FreshFields,Procured for strawberry farming operations.,Strawberry Farming
Activities related to other poultry production.,10242.42,BioHarvest,Procured for other poultry production operations.,Other Poultry Production
Activities related to cattle feedlots.,3588.05,FreshFields,Procured for cattle feedlots operations.,Cattle Feedlots
Activities related to corn farming.,17432.9,BioHarvest,Procured for corn farming operations.,Corn Farming
Activities related to cattle feedlots.,14941.3,AgriCorp,Procured for cattle feedlots operations.,Cattle Feedlots
Activities related to mushroom production.,28056.75,CropGen,Procured for mushroom production operations.,Mushroom Production
Activities related to potato farming.,16797.51,FreshFields,Procured for potato farming operations.,Potato Farming
Activities related to fruit and tree nut combination farming.,24638.24,BioHarvest,Procured for fruit and tree nut combination farming operations.,Fruit and Tree Nut Combination Farming
Activities related to all other miscellaneous crop farming.,49911.26,AgriCorp,Procured for all other miscellaneous crop farming operations.,All Other Miscellaneous Crop Farming
Activities related to soybean farming.,1554.0,CropGen,Procured for soybean farming operations.,Soybean Farming
Activities related to other poultry production.,6923.55,CropGen,Procured for other poultry production operations.,Other Poultry Production
Activities related to oilseed and grain combination farming.,11380.99,BioHarvest,Procured for oilseed and grain combination farming operations.,Oilseed and Grain Combination Farming
Activities related to cotton farming.,45444.74,CropGen,Procured for cotton farming operations.,Cotton Farming
Activities related to sheep farming.,39992.05,CropGen,Procured for sheep farming operations.,Sheep Farming
Activities related to turkey production.,24390.85,EcoFarms,Procured for turkey production operations.,Turkey Production
Activities related to hay farming.,47557.3,FreshFields,Procured for hay farming operations.,Hay Farming
Activities related to broilers and other meat type chicken production.,16284.0,CropGen,Procured for broilers and other meat type chicken production operations.,Broilers and Other Meat Type Chicken Production
Activities related to rice farming.,6273.45,BioHarvest,Procured for rice farming operations.,Rice Farming
Activities related to mushroom production.,30407.12,FreshFields,Procured for mushroom production operations.,Mushroom Production
Irrelevant text dteteevhAdpcror  ouqttrtiiitas n osee crdneean .hi lsouio,30245.91,CropGen,Procured for horses and other equine production operations.,Horses and Other Equine Production
Activities related to berry (except strawberry) farming.,13419.41,AgriCorp,Procured for berry (except strawberry) farming operations.,Berry (except Strawberry) Farming
ttaecvrgioogmeii .alfi s boddiintaeatr icen  t Aoidnlarsnemn,33092.8,EcoFarms,Procured for oilseed and grain combination farming operations.,Oilseed and Grain Combination Farming
Activtiesrelated to paenut farming.,23853.86,EcoFarms,Procured for peanut farming operations.,Peanut Farming
Activities related to berry (except strawberry) farming.,44327.13,BioHarvest,Procured for berry (except strawberry) farming operations.,Berry (except Strawberry) Farming
Activities related to dual-purpose cattle ranching and farming.,38160.05,AgriCorp,Procured for dual-purpose cattle ranching and farming operations.,Dual-Purpose Cattle Ranching and Farming
Activities related to mushroom production.,10095.45,FreshFields,Procured for mushroom production operations.,Mushroom Production
Activities related to cotton farming.,29646.25,AgriCorp,Procured for cotton farming operations.,Cotton Farming
Activities related to turkey production.,8256.81,BioHarvest,Procured for turkey production operations.,Turkey Production
Activities related to fruit and tree nut combination farming.,38508.43,FreshFields,Procured for fruit and tree nut combination farming operations.,Fruit and Tree Nut Combination Farming
Irrelevant text iti t  v.elncuetolikleiaaicma ttodesntt dddyAar i oprcr,18988.58,FreshFields,Procured for dairy cattle and milk production operations.,Dairy Cattle and Milk Production
Activities related t ochicken egg pordction.,46945.18,FreshFields,Procured for chicken egg production operations.,Chicken Egg Production
Activities related to finfish farming and fish hatcheries.,10671.65,AgriCorp,Procured for finfish farming and fish hatcheries operations.,Finfish Farming and Fish Hatcheries
Activities related to broilers and other meat type chicken production.,4578.5,FreshFields,Procured for broilers and other meat type chicken production operations.,Broilers and Other Meat Type Chicken Production
Activities related to goat farming.,44638.65,EcoFarms,Procured for goat farming operations.,Goat Farming
Activities related to finfish farming and fish hatcheries.,21706.28,EcoFarms,Procured for finfish farming and fish hatcheries operations.,Finfish Farming and Fish Hatcheries
Activities related to broilers and other meat type chicken production.,28220.73,FreshFields,Procured for broilers and other meat type chicken production operations.,Broilers and Other Meat Type Chicken Production
Activities related to grape vineyards.,9095.86,BioHarvest,Procured for grape vineyards operations.,Grape Vineyards
Activities related to finfish farming and fish hatcheries.,28625.88,CropGen,Procured for finfish farming and fish hatcheries operations.,Finfish Farming and Fish Hatcheries
Activities related to other vegetable (except potato) and melon farming.,2534.09,FreshFields,Procured for other vegetable (except potato) and melon farming operations.,Other Vegetable (except Potato) and Melon Farming
Activities related to other food crops grown under cover.,39937.64,CropGen,Procured for other food crops grown under cover operations.,Other Food Crops Grown Under Cover
Activities related to beef cattle ranching and farming.,37926.84,EcoFarms,Procured for beef cattle ranching and farming operations.,Beef Cattle Ranching and Farming
Activities related to potato farming.,33641.82,EcoFarms,Procured for potato farming operations.,Potato Farming
Activities related to dairy cattle and milk production.,39466.39,AgriCorp,Procured for dairy cattle and milk production operations.,Dairy Cattle and Milk Production
Activities relsted to orange grpves.,41202.65,AgriCorp,Procured for orange groves operations.,Orange Groves
Activities related to finfish farming and fish hatcheries.,21235.93,BioHarvest,Procured for finfish farming and fish hatcheries operations.,Finfish Farming and Fish Hatcheries
Activities related to tobacco farming.,24612.05,AgriCorp,Procured for tobacco farming operations.,Tobacco Farming
Activities related to dairy cattle and milk production.,37401.03,CropGen,Procured for dairy cattle and milk production operations.,Dairy Cattle and Milk Production
Activities related to cotton farming.,18169.16,BioHarvest,Procured for cotton farming operations.,Cotton Farming
Activities related to soybean farming.,25898.93,CropGen,Procured for soybean farming operations.,Soybean Farming
Activities related to fur-bearing animal and rabbit production.,18957.2,EcoFarms,Procured for fur-bearing animal and rabbit production operations.,Fur-Bearing Animal and Rabbit Production
Activities related to poultry hatcheries.,17267.44,EcoFarms,Procured for poultry hatcheries operations.,Poultry Hatcheries
Activities related to oilseed and grain combination farming.,18274.73,CropGen,Procured for oilseed and grain combination farming operations.,Oilseed and Grain Combination Farming
Activities related to other vegetable (except potato) and melon farming.,43107.11,BioHarvest,Procured for other vegetable (except potato) and melon farming operations.,Other Vegetable (except Potato) and Melon Farming
Activities related to oilseed (except soybean) farming.,23952.1,FreshFields,Procured for oilseed (except soybean) farming operations.,Oilseed (except Soybean) Farming
Activities related tonursery an tree production.,6456.98,AgriCorp,Procured for nursery and tree production operations.,Nursery and Tree Production
Activities related to cattle feedlots.,20307.92,BioHarvest,Procured for cattle feedlots operations.,Cattle Feedlots
Activities related to broilers and other meat type chicken production.,32518.05,FreshFields,Procured for broilers and other meat type chicken production operations.,Broilers and Other Meat Type Chicken Production
Activities related to beef cattle ranching and farming.,27498.45,AgriCorp,Procured for beef cattle ranching and farming operations.,Beef Cattle Ranching and Farming
Activities related to mushroom production.,3348.31,BioHarvest,Procured for mushroom production operations.,Mushroom Production
Activities related to dual-purpose cattle ranching and farming.,25445.77,BioHarvest,Procured for dual-purpose cattle ranching and farming operations.,Dual-Purpose Cattle Ranching and Farming
Activities related to other poultry production.,18840.21,FreshFields,Procured for other poultry production operations.,Other Poultry Production
Activities related to oilseed and grain combination farming.,26559.76,EcoFarms,Procured for oilseed and grain combination farming operations.,Oilseed and Grain Combination Farming
Activities related to all other miscellaneous crop farming.,11651.32,AgriCorp,Procured for all other miscellaneous crop farming operations.,All Other Miscellaneous Crop Farming
Activities related to poultry hatcheries.,10476.93,BioHarvest,Procured for poultry hatcheries operations.,Poultry Hatcheries
Irrelevant text irdevcAiailest tc uol.ieattp eutr,12652.95,CropGen,Procured for apiculture operations.,Apiculture
Activities related to grape vineyards.,7600.11,EcoFarms,Procured for grape vineyards operations.,Grape Vineyards
Activities related to dairy cattle and milk production.,21731.9,EcoFarms,Procured for dairy cattle and milk production operations.,Dairy Cattle and Milk Production
Activities related to potato farming.,2697.05,EcoFarms,Procured for potato farming operations.,Potato Farming
Irrelevant text ir rootttianree  vlctuutctdApd.ip  oeorehsoilyt,39559.97,FreshFields,Procured for other poultry production operations.,Other Poultry Production
Activities related to tree nut farming.,21252.44,BioHarvest,Procured for tree nut farming operations.,Tree Nut Farming
Activities related to cattle feedlots.,8223.55,CropGen,Procured for cattle feedlots operations.,Cattle Feedlots
Activities related to poultry hatcheries.,10171.17,EcoFarms,Procured for poultry hatcheries operations.,Poultry Hatcheries
Activities related to apple orchards.,35793.79,EcoFarms,Procured for apple orchards operations.,Apple Orchards
Activities related to grape vineyards.,26570.9,FreshFields,Procured for grape vineyards operations.,Grape Vineyards
Activities related to other vegetable (except potato) and melon farming.,41573.72,AgriCorp,Procured for other vegetable (except potato) and melon farming operations.,Other Vegetable (except Potato) and Melon Farming
Activities related to cattle feedlots.,39948.84,AgriCorp,Procured for cattle feedlots operations.,Cattle Feedlots
Activities related to sugarcane farming.,47446.27,BioHarvest,Procured for sugarcane farming operations.,Sugarcane Farming
Activities related to floriculture production.,41929.54,BioHarvest,Procured for floriculture production operations.,Floriculture Production
Irrelevant text al oticatoedrpirsd ei ri ttre eenorntA uus.nvycted,33174.86,CropGen,Procured for nursery and tree production operations.,Nursery and Tree Production
Activities related to tobacco farming.,44779.82,BioHarvest,Procured for tobacco farming operations.,Tobacco Farming
Activities related to fur-bearing animal and rabbit production.,20942.34,BioHarvest,Procured for fur-bearing animal and rabbit production operations.,Fur-Bearing Animal and Rabbit Production
Activities related to potato farming.,25019.5,EcoFarms,Procured for potato farming operations.,Potato Farming
Activities related to other noncitrus fruit farming.,25977.5,CropGen,Procured for other noncitrus fruit farming operations.,Other Noncitrus Fruit Farming
Activities related to cotton farming.,41544.28,CropGen,Procured for cotton farming operations.,Cotton Farming
Irrelevant text etsi odet r eeict neanttAlaf.rmitgri uv,25651.16,CropGen,Procured for tree nut farming operations.,Tree Nut Farming
Actiities elated to catle feedlots.,10331.61,EcoFarms,Procured for cattle feedlots operations.,Cattle Feedlots
Irrelevant text  ppcooeiocertuuyad.ltdriti  vthir rotloteeAstn ,26034.67,AgriCorp,Procured for other poultry production operations.,Other Poultry Production
Activities related to hog and pig farming.,49429.92,CropGen,Procured for hog and pig farming operations.,Hog and Pig Farming
Activities related to sugarcane farming.,1994.7,AgriCorp,Procured for sugarcane farming operations.,Sugarcane Farming
Activitie srelated to nurry and tree production.,13307.02,CropGen,Procured for nursery and tree production operations.,Nursery and Tree Production
Activities related to berry (except strawberry) farming.,11320.0,AgriCorp,Procured for berry (except strawberry) farming operations.,Berry (except Strawberry) Farming
Activities related to strawberry farming.,4102.99,BioHarvest,Procured for strawberry farming operations.,Strawberry Farming
Activities related to dual-purpose cattle ranching and farming.,34224.35,CropGen,Procured for dual-purpose cattle ranching and farming operations.,Dual-Purpose Cattle Ranching and Farming
Activities related to other food crops grown under cover.,24933.37,AgriCorp,Procured for other food crops grown under cover operations.,Other Food Crops Grown Under Cover
Activities related to turkey production.,7122.78,CropGen,Procured for turkey production operations.,Turkey Production
te iedtttivlriAsuepaltc uracieo. ,41296.12,FreshFields,Procured for apiculture operations.,Apiculture
Activities related to oilseed and grain combination farming.,31433.25,EcoFarms,Procured for oilseed and grain combination farming operations.,Oilseed and Grain Combination Farming
Activities related to hog and pig farming.,8970.92,CropGen,Procured for hog and pig farming operations.,Hog and Pig Farming
Activities related to dairy cattle and milk production.,23012.57,CropGen,Procured for dairy cattle and milk production operations.,Dairy Cattle and Milk Production
Activities related to floriculture production.,5660.31,CropGen,Procured for floriculture production operations.,Floriculture Production
Activities related to citrus (except orange) groves.,33082.72,BioHarvest,Procured for citrus (except orange) groves operations.,Citrus (except Orange) Groves
Activities related to beef cattle ranching and farming.,19602.5,CropGen,Procured for beef cattle ranching and farming operations.,Beef Cattle Ranching and Farming
Activities related to tree nut farming.,40083.52,AgriCorp,Procured for tree nut farming operations.,Tree Nut Farming
aldo gririnotiirAve  ragsm entt fceteal itla.h,22402.23,CropGen,Procured for all other grain farming operations.,All Other Grain Farming
Activities related to hog and pig farming.,19973.44,FreshFields,Procured for hog and pig farming operations.,Hog and Pig Farming
Activities related to dual-purpose cattle ranching and farming.,1072.65,FreshFields,Procured for dual-purpose cattle ranching and farming operations.,Dual-Purpose Cattle Ranching and Farming
Activities related to all other animal production.,28055.65,AgriCorp,Procured for all other animal production operations.,All Other Animal Production
Activities related to cattle feedlots.,11470.55,AgriCorp,Procured for cattle feedlots operations.,Cattle Feedlots
Activities related to tobacco farming.,20997.52,CropGen,Procured for tobacco farming operations.,Tobacco Farming
Activities related to strawberry farming.,28977.34,FreshFields,Procured for strawberry farming operations.,Strawberry Farming
Activities related to apple orchards.,2906.7,CropGen,Procured for apple orchards operations.,Apple Orchards
Activities related to dairy cattle and milk production.,38225.93,CropGen,Procured for dairy cattle and milk production operations.,Dairy Cattle and Milk Production
Activities related to corn farming.,24840.74,EcoFarms,Procured for corn farming operations.,Corn Farming
Activities related to other noncitrus fruit farming.,11635.75,EcoFarms,Procured for other noncitrus fruit farming operations.,Other Noncitrus Fruit Farming
Activities related to rice farming.,7738.56,AgriCorp,Procured for rice farming operations.,Rice Farming
Activities related to rice farming.,41441.41,AgriCorp,Procured for rice farming operations.,Rice Farming
Activities related to other poultry production.,38632.76,EcoFarms,Procured for other poultry production operations.,Other Poultry Production
Activities related to dairy cattle and milk production.,47781.19,BioHarvest,Procured for dairy cattle and milk production operations.,Dairy Cattle and Milk Production
Activities related to tree nut farming.,46449.51,CropGen,Procured for tree nut farming operations.,Tree Nut Farming
Activities related to cattle feedlots.,39841.49,CropGen,Procured for cattle feedlots operations.,Cattle Feedlots
Activities related to goat farming.,36560.81,CropGen,Procured for goat farming operations.,Goat Farming
Activities related to strawberry farming.,2372.52,AgriCorp,Procured for strawberry farming operations.,Strawberry Farming
Activities realtedt o horses and other equine production.,27364.37,CropGen,Procured for horses and other equine production operations.,Horses and Other Equine Production
Activities related to goat farming.,44779.54,AgriCorp,Procured for goat farming operations.,Goat Farming
Activities related to soybean farming.,33450.66,BioHarvest,Procured for soybean farming operations.,Soybean Farming
Activities related to horses and other equine production.,42660.58,AgriCorp,Procured for horses and other equine production operations.,Horses and Other Equine Production
Activities related to dual-purpose cattle ranching and farming.,42028.55,CropGen,Procured for dual-purpose cattle ranching and farming operations.,Dual-Purpose Cattle Ranching and Farming
Activities related to other poultry production.,43147.3,FreshFields,Procured for other poultry production operations.,Other Poultry Production
Activities related to all other grain farming.,31923.01,CropGen,Procured for all other grain farming operations.,All Other Grain Farming
Activities related to broilers and other meat type chicken production.,13094.81,FreshFields,Procured for broilers and other meat type chicken production operations.,Broilers and Other Meat Type Chicken Production
Activties related t osoybean farming.,38284.6,CropGen,Procured for soybean farming operations.,Soybean Farming
Activities related to cotton farming.,44825.56,EcoFarms,Procured for cotton farming operations.,Cotton Farming
Activities related to fruit and tree nut combination farming.,34629.45,CropGen,Procured for fruit and tree nut combination farming operations.,Fruit and Tree Nut Combination Farming
Activities related to finfih farming ad fish hatcherise.,10519.34,CropGen,Procured for finfish farming and fish hatcheries operations.,Finfish Farming and Fish Hatcheries
Acivities related to otato farming.,8739.43,EcoFarms,Procured for potato farming operations.,Potato Farming
Activities related to fur-bearing animal and rabbit production.,27574.01,EcoFarms,Procured for fur-bearing animal and rabbit production operations.,Fur-Bearing Animal and Rabbit Production
Activities related to finfish farming and fish hatcheries.,41747.33,CropGen,Procured for finfish farming and fish hatcheries operations.,Finfish Farming and Fish Hatcheries
Activities related to sheep farming.,1721.78,FreshFields,Procured for sheep farming operations.,Sheep Farming
Activities related to hog and pig farming.,27205.51,CropGen,Procured for hog and pig farming operations.,Hog and Pig Farming
Activities related to other noncitrus fruit farming.,14225.33,EcoFarms,Procured for other noncitrus fruit farming operations.,Other Noncitrus Fruit Farming
Activities related to oilseed (except soybean) farming.,41823.9,EcoFarms,Procured for oilseed (except soybean) farming operations.,Oilseed (except Soybean) Farming
Activities related to hog and pig farming.,20296.15,EcoFarms,Procured for hog and pig farming operations.,Hog and Pig Farming
Activities related to shellfish farming.,30893.17,CropGen,Procured for shellfish farming operations.,Shellfish Farming
Activities related to all other grain farming.,49077.66,AgriCorp,Procured for all other grain farming operations.,All Other Grain Farming
Activities related to citrus (except orange) groves.,36706.72,AgriCorp,Procured for citrus (except orange) groves operations.,Citrus (except Orange) Groves
Activities related to turkey production.,43620.35,CropGen,Procured for turkey production operations.,Turkey Production
Activities related to apiculture.,9113.51,BioHarvest,Procured for apiculture operations.,Apiculture
 u hlAtir aiteg sftioteresnmrreruftd ct n.ntiiavioco,10394.63,CropGen,Procured for other noncitrus fruit farming operations.,Other Noncitrus Fruit Farming
Activities related to sugarcane farming.,21603.71,BioHarvest,Procured for sugarcane farming operations.,Sugarcane Farming
Activities related to goat farming.,3332.99,AgriCorp,Procured for goat farming operations.,Goat Farming
Activities related to dual-purpose cattle ranching and farming.,16860.98,AgriCorp,Procured for dual-purpose cattle ranching and farming operations.,Dual-Purpose Cattle Ranching and Farming
Activities related to grape vineyards.,9571.98,AgriCorp,Procured for grape vineyards operations.,Grape Vineyards
Activities related tooange groves.,15324.48,BioHarvest,Procured for orange groves operations.,Orange Groves
Activities related to potato farming.,27095.09,BioHarvest,Procured for potato farming operations.,Potato Farming
Activities related to fur-bearing animal and rabbit production.,28037.68,BioHarvest,Procured for fur-bearing animal and rabbit production operations.,Fur-Bearing Animal and Rabbit Production
Activities related to cattle feedlots.,38832.04,CropGen,Procured for cattle feedlots operations.,Cattle Feedlots
Activities related to all other grain farming.,32913.64,CropGen,Procured for all other grain farming operations.,All Other Grain Farming
Activities related to tree nut farming.,9167.99,FreshFields,Procured for tree nut farming operations.,Tree Nut Farming
Activities related to nursery and tree production.,34013.91,CropGen,Procured for nursery and tree production operations.,Nursery and Tree Production
Activities related to rice farming.,49546.14,AgriCorp,Procured for rice farming operations.,Rice Farming
Activities related to other poultry production.,39592.7,BioHarvest,Procured for other poultry production operations.,Other Poultry Production
Activities related to fur-bearing animal and rabbit production.,30671.62,CropGen,Procured for fur-bearing animal and rabbit production operations.,Fur-Bearing Animal and Rabbit Production
Activities related to sheep farming.,1595.77,AgriCorp,Procured for sheep farming operations.,Sheep Farming
Activities related to sheep farming.,43291.45,BioHarvest,Procured for sheep farming operations.,Sheep Farming
Activities related to rice farming.,26322.68,CropGen,Procured for rice farming operations.,Rice Farming
Activities related to beef cattle ranching and farming.,46715.25,FreshFields,Procured for beef cattle ranching and farming operations.,Beef Cattle Ranching and Farming
Activities related to all other miscellaneous crop farming.,47805.97,AgriCorp,Procured for all other miscellaneous crop farming operations.,All Other Miscellaneous Crop Farming
Activities related to all other animal production.,35595.65,CropGen,Procured for all other animal production operations.,All Other Animal Production
Activities related to cotton farming.,41328.62,AgriCorp,Procured for cotton farming operations.,Cotton Farming
uvebnna iditrif -ia .eosbpmelnd arctooc laetruiaiibg Antrt ratd,43252.65,AgriCorp,Procured for fur-bearing animal and rabbit production operations.,Fur-Bearing Animal and Rabbit Production
Activities related to grape vineyards.,30429.5,AgriCorp,Procured for grape vineyards operations.,Grape Vineyards
Activities related to beef cattle ranching and farming.,2798.71,AgriCorp,Procured for beef cattle ranching and farming operations.,Beef Cattle Ranching and Farming
Irrelevant text gvtcA  iaetrtoiiinrdeaf rt nlco.sem,28932.69,BioHarvest,Procured for corn farming operations.,Corn Farming
Irrelevant text ouveictr.ettrtlpldcsiaa e iAtie u,14433.14,EcoFarms,Procured for apiculture operations.,Apiculture
Activitiesr elated to otange grves.,27166.67,BioHarvest,Procured for orange groves operations.,Orange Groves
Activities related to peanut farming.,37946.14,BioHarvest,Procured for peanut farming operations.,Peanut Farming
Activities related to cattle feedlots.,31592.04,AgriCorp,Procured for cattle feedlots operations.,Cattle Feedlots
Activities related to rice farming.,46203.12,EcoFarms,Procured for rice farming operations.,Rice Farming
Irrelevant text gaerllevntthanfectrcimsAifnedg   a obt  teiiticra .aend,8041.54,BioHarvest,Procured for beef cattle ranching and farming operations.,Beef Cattle Ranching and Farming
Activities related to apple orchards.,28070.58,BioHarvest,Procured for apple orchards operations.,Apple Orchards
Activities related to sugarcane farming.,8562.42,CropGen,Procured for sugarcane farming operations.,Sugarcane Farming
Activities related to all oher animal producton.,2536.38,BioHarvest,Procured for all other animal production operations.,All Other Animal Production
Activities related to wheat farming.,12090.02,BioHarvest,Procured for wheat farming operations.,Wheat Farming
Activities related to nursery and tree production.,19566.33,AgriCorp,Procured for nursery and tree production operations.,Nursery and Tree Production
Activities related to fruit and tree nut combination farming.,32238.72,EcoFarms,Procured for fruit and tree nut combination farming operations.,Fruit and Tree Nut Combination Farming
Activiteis reatef to sugarcane farming.,3547.51,AgriCorp,Procured for sugarcane farming operations.,Sugarcane Farming
Activities related to fruit and tree nut combination farming.,18597.1,BioHarvest,Procured for fruit and tree nut combination farming operations.,Fruit and Tree Nut Combination Farming
Activities related to mushroom production.,34702.61,AgriCorp,Procured for mushroom production operations.,Mushroom Production
Irrelevant text aiemeottitrdic .nfoAr  regilcv ants,26202.14,FreshFields,Procured for corn farming operations.,Corn Farming
Activities related to oilseed (except soybean) farming.,36083.23,EcoFarms,Procured for oilseed (except soybean) farming operations.,Oilseed (except Soybean) Farming
Activities related to sugar beet farming.,30089.52,AgriCorp,Procured for sugar beet farming operations.,Sugar Beet Farming
Activities related to all other animal production.,31382.48,CropGen,Procured for all other animal production operations.,All Other Animal Production
Activities related to other vegetable (except potato) and melon farming.,36221.81,FreshFields,Procured for other vegetable (except potato) and melon farming operations.,Other Vegetable (except Potato) and Melon Farming
Activities related to grape vineyards.,41710.6,AgriCorp,Procured for grape vineyards operations.,Grape Vineyards
Activities related to corn farming.,47093.57,EcoFarms,Procured for corn farming operations.,Corn Farming
Activities related to finfish farming and fish hatcheries.,24043.64,EcoFarms,Procured for finfish farming and fish hatcheries operations.,Finfish Farming and Fish Hatcheries
Activities related to oilseed and grain combination farming.,29831.82,FreshFields,Procured for oilseed and grain combination farming operations.,Oilseed and Grain Combination Farming
Activities related to soybean farming.,40674.9,BioHarvest,Procured for soybean farming operations.,Soybean Farming
Activities related to mushroom production.,36046.77,EcoFarms,Procured for mushroom production operations.,Mushroom Production
Activities related to beef cattle ranching and farming.,28946.43,AgriCorp,Procured for beef cattle ranching and farming operations.,Beef Cattle Ranching and Farming
Activities related to other poultry production.,15782.52,CropGen,Procured for other poultry production operations.,Other Poultry Production
Activities related to turkey production.,38616.95,CropGen,Procured for turkey production operations.,Turkey Production
Activities related to chicken egg production.,30266.75,BioHarvest,Procured for chicken egg production operations.,Chicken Egg Production
Activities related to broilers and other meat type chicken production.,43445.96,EcoFarms,Procured for broilers and other meat type chicken production operations.,Broilers and Other Meat Type Chicken Production
Activities related to apple orchards.,6819.37,CropGen,Procured for apple orchards operations.,Apple Orchards
Activities related to peanut farming.,3017.24,CropGen,Procured for peanut farming operations.,Peanut Farming
Activities related to berry (except strawberry) farming.,9961.0,CropGen,Procured for berry (except strawberry) farming operations.,Berry (except Strawberry) Farming
Activities related to chicken egg production.,37976.52,EcoFarms,Procured for chicken egg production operations.,Chicken Egg Production
Activities related to grape vineyards.,7142.51,BioHarvest,Procured for grape vineyards operations.,Grape Vineyards
Activities related to all other animal production.,25084.06,FreshFields,Procured for all other animal production operations.,All Other Animal Production
Activities related to rice farming.,6531.48,AgriCorp,Procured for rice farming operations.,Rice Farming
eagennaAgsimirovctir r  hodteit till.ra tel af,44353.78,CropGen,Procured for all other grain farming operations.,All Other Grain Farming
Activities related to poultry hatcheries.,47556.77,AgriCorp,Procured for poultry hatcheries operations.,Poultry Hatcheries
Activities related to poultry hatcheries.,24007.6,CropGen,Procured for poultry hatcheries operations.,Poultry Hatcheries
Activities related to peanut farming.,13586.96,FreshFields,Procured for peanut farming operations.,Peanut Farming
Activities related to dry pea and bean farming.,3575.37,CropGen,Procured for dry pea and bean farming operations.,Dry Pea and Bean Farming
Activities related to wheat farming.,4959.49,FreshFields,Procured for wheat farming operations.,Wheat Farming
Activities related to goat farming.,25243.06,BioHarvest,Procured for goat farming operations.,Goat Farming
Activities related t other poultry prodution.,12969.44,EcoFarms,Procured for other poultry production operations.,Other Poultry Production
Activities related to beef cattle ranching and farming.,34477.33,FreshFields,Procured for beef cattle ranching and farming operations.,Beef Cattle Ranching and Farming
Activities related to all other miscellaneous crop farming.,43582.87,EcoFarms,Procured for all other miscellaneous crop farming operations.,All Other Miscellaneous Crop Farming
Activities related to grape vineyards.,45858.0,BioHarvest,Procured for grape vineyards operations.,Grape Vineyards
Activities related to cotton farming.,11285.6,FreshFields,Procured for cotton farming operations.,Cotton Farming
Activities related to wheat farming.,10322.54,EcoFarms,Procured for wheat farming operations.,Wheat Farming
Activities related to cattle feedlots.,27079.64,BioHarvest,Procured for cattle feedlots operations.,Cattle Feedlots
Irrelevant text gnuoira tecsrc ett  itaeAtt .hveiunmfsf rlirndoiirot,8032.76,FreshFields,Procured for other noncitrus fruit farming operations.,Other Noncitrus Fruit Farming
Ativities related to horses and other euqineproduction.,31906.26,AgriCorp,Procured for horses and other equine production operations.,Horses and Other Equine Production
Activities related to sugarcane farming.,49327.65,CropGen,Procured for sugarcane farming operations.,Sugarcane Farming
Activities related to dual-purpose cattle ranching and farming.,7691.07,CropGen,Procured for dual-purpose cattle ranching and farming operations.,Dual-Purpose Cattle Ranching and Farming
Activities related to all other animal production.,19112.26,BioHarvest,Procured for all other animal production operations.,All Other Animal Production
Activities related to rice farming.,38401.65,BioHarvest,Procured for rice farming operations.,Rice Farming
Activities related to dry pea and bean farming.,39400.6,EcoFarms,Procured for dry pea and bean farming operations.,Dry Pea and Bean Farming
Activities related to poultry hatcheries.,16311.31,BioHarvest,Procured for poultry hatcheries operations.,Poultry Hatcheries
Activities related to shellfish farming.,34661.95,EcoFarms,Procured for shellfish farming operations.,Shellfish Farming
Activities related to other food crops grown under cover.,24117.38,CropGen,Procured for other food crops grown under cover operations.,Other Food Crops Grown Under Cover
Activities related to corn farming.,17758.41,AgriCorp,Procured for corn farming operations.,Corn Farming
Activities related to other vegetable (except potato) and melon farming.,8682.25,CropGen,Procured for other vegetable (except potato) and melon farming operations.,Other Vegetable (except Potato) and Melon Farming
Activities related to all other grain farming.,40869.82,CropGen,Procured for all other grain farming operations.,All Other Grain Farming
Irrelevant text urti .tde aco tiuiovrAeettcrqslhtelaae u,27736.26,FreshFields,Procured for other aquaculture operations.,Other Aquaculture
Activities related to tobacco farming.,42546.62,FreshFields,Procured for tobacco farming operations.,Tobacco Farming
Activities related to beef cattle ranching and farming.,38549.77,AgriCorp,Procured for beef cattle ranching and farming operations.,Beef Cattle Ranching and Farming
Activities related to berry (except strawberry) farming.,25151.5,EcoFarms,Procured for berry (except strawberry) farming operations.,Berry (except Strawberry) Farming
